strategy,n_phages,resistance_independence,resistance_structure,mutation_rate,resistance_cost,end_load,nadir,log10_drop,resistant_fraction_end,resistant_takeover,rebound,time_to_99pct_suppression_h
cocktail_k1,3,0.5,partial_dependence,1e-07,0.1,999999999.9847414,13647.617697966678,2.5639131559572474,0.9999999969984192,True,True,9.5
cocktail_k1,3,0.5,partial_dependence,1e-06,0.0,999999996.5369729,96673.37549499329,1.713663121439252,0.9999999999762426,True,True,
cocktail_k1,3,0.5,partial_dependence,1e-06,0.05,999999999.9112248,80557.0730375336,1.7928663261690678,0.9999999999432488,True,True,
cocktail_k1,3,0.5,partial_dependence,1e-06,0.1,1000000000.0423825,65597.51300053648,1.8820826300612428,0.9999999998513305,True,True,
cocktail_k1,3,1.0,independent_resistance,1e-08,0.0,1000000001.8230563,195.8055214309748,4.407145070223367,0.9999999121012966,True,True,9.5
cocktail_k1,3,1.0,independent_resistance,1e-08,0.05,999999995.3513035,195.8055214309748,4.407145070223367,0.999999751488861,True,True,9.5
cocktail_k1,3,1.0,independent_resistance,1e-08,0.1,999999981.692624,195.8055214309748,4.407145070223367,0.9999992124583931,True,True,9.5
cocktail_k1,3,1.0,independent_resistance,1e-07,0.0,1000000002.2852409,20286.51810338854,2.391762491469689,0.999999999609528,True,True,9.5
cocktail_k1,3,1.0,independent_resistance,1e-07,0.05,1000000002.8204194,16897.11386347706,2.4711574736990958,0.9999999989735769,True,True,9.5
cocktail_k1,3,1.0,independent_resistance,1e-07,0.1,999999999.9847414,13647.617697966678,2.5639131559572474,0.9999999969984192,True,True,9.5
cocktail_k1,3,1.0,independent_resistance,1e-06,0.0,999999996.5369729,96673.37549499329,1.713663121439252,0.9999999999762426,True,True,
cocktail_k1,3,1.0,independent_resistance,1e-06,0.05,999999999.9112248,80557.0730375336,1.7928663261690678,0.9999999999432488,True,True,
cocktail_k1,3,1.0,independent_resistance,1e-06,0.1,1000000000.0423825,65597.51300053648,1.8820826300612428,0.9999999998513305,True,True,
robust_k2,6,0.0,complete_cross_resistance,1e-08,0.0,999999979.9311663,5901.566745773029,2.928002681047137,0.9999985219812595,True,True,11.5
robust_k2,6,0.0,complete_cross_resistance,1e-08,0.05,999999953.1880014,5901.566745773029,2.928002681047137,0.9999958970741233,True,True,11.5
robust_k2,6,0.0,complete_cross_resistance,1e-08,0.1,999999873.1345719,5901.566745773029,2.928002681047137,0.999987605340288,True,True,11.5
robust_k2,6,0.0,complete_cross_resistance,1e-07,0.0,1000000002.4049729,68238.0840972827,1.8649431795771783,0.9999999642339203,True,True,
robust_k2,6,0.0,complete_cross_resistance,1e-07,0.05,999999994.4669012,57533.02660240799,1.9390527830629924,0.9999999073665391,True,True,
robust_k2,6,0.0,complete_cross_resistance,1e-07,0.1,1000000000.7241129,48793.40930413064,2.0106088400412974,0.9999997341599217,True,True,12.0
robust_k2,6,0.0,complete_cross_resistance,1e-06,0.0,999999998.803313,258703.52880899867,1.2861676516464424,0.9999999979792716,True,True,
robust_k2,6,0.0,complete_cross_resistance,1e-06,0.05,999999997.4566711,218154.40211654274,1.3602060233384883,0.9999999952343027,True,True,
robust_k2,6,0.0,complete_cross_resistance,1e-06,0.1,999999996.0452948,177938.95136620005,1.4486989774901655,0.9999999876916486,True,True,
robust_k2,6,0.5,partial_dependence,1e-08,0.0,39923586.71504754,5900.353428113661,2.928091977900251,1.6044355599093422e-08,False,True,11.5
robust_k2,6,0.5,partial_dependence,1e-08,0.05,39923586.71504754,5900.353428113661,2.928091977900251,1.6044355599093422e-08,False,True,11.5
robust_k2,6,0.5,partial_dependence,1e-08,0.1,39923586.71504754,5900.353428113661,2.928091977900251,1.6044355599093422e-08,False,True,11.5
robust_k2,6,0.5,partial_dependence,1e-07,0.0,1000000000.5923012,47594.93257901276,2.0214092883828556,0.9999999138168191,True,True,11.5
robust_k2,6,0.5,partial_dependence,1e-07,0.05,1000000001.44036,39828.71254256498,2.0987737362067964,0.9999997651507988,True,True,11.5
robust_k2,6,0.5,partial_dependence,1e-07,0.1,1000000001.3141117,33807.345234516564,2.1699589357668625,0.9999992878468907,True,True,11.5
robust_k2,6,0.5,partial_dependence,1e-06,0.0,1000000001.9996445,162361.9147194467,1.4884858400648353,0.9999999947492831,True,True,
robust_k2,6,0.5,partial_dependence,1e-06,0.05,999999994.6142381,135247.98460156273,1.5678392021503251,0.9999999869815899,True,True,
robust_k2,6,0.5,partial_dependence,1e-06,0.1,1000000020.0866692,111106.62870443237,1.653230034289125,0.999999964459363,True,True,
robust_k2,6,1.0,independent_resistance,1e-08,0.0,39923586.714868,5900.353306782375,2.928091986830819,1.6033450721328808e-08,False,True,11.5
robust_k2,6,1.0,independent_resistance,1e-08,0.05,39923586.714868,5900.353306782375,2.928091986830819,1.6033450721328808e-08,False,True,11.5
robust_k2,6,1.0,independent_resistance,1e-08,0.1,39923586.714868,5900.353306782375,2.928091986830819,1.6033450721328808e-08,False,True,11.5
robust_k2,6,1.0,independent_resistance,1e-07,0.0,1000000000.5923022,47594.92873852111,2.021409323426594,0.9999999138168191,True,True,11.5
robust_k2,6,1.0,independent_resistance,1e-07,0.05,1000000001.4403596,39828.70870192039,2.098773778085399,0.9999997651507989,True,True,11.5
robust_k2,6,1.0,independent_resistance,1e-07,0.1,1000000001.3141118,33807.34139565744,2.169958985081454,0.9999992878468911,True,True,11.5
robust_k2,6,1.0,independent_resistance,1e-06,0.0,1000000001.9996434,162361.79293346472,1.4884861658247273,0.9999999947492832,True,True,
robust_k2,6,1.0,independent_resistance,1e-06,0.05,999999994.6142364,135247.86279447714,1.567839593284945,0.9999999869815901,True,True,
robust_k2,6,1.0,independent_resistance,1e-06,0.1,1000000020.090134,111106.50713839142,1.6532305094677016,0.9999999644593635,True,True,
