size,greedy,oracle,random_mean
42,0.3217391304347826,0.3652173913043478,0.12443478260869568
43,0.32608695652173914,0.3695652173913043,0.12669565217391307
44,0.33043478260869563,0.3739130434782609,0.12843478260869567
45,0.3347826086956522,0.3782608695652174,0.13017391304347828
46,0.3391304347826087,0.3826086956521739,0.13191304347826086
47,0.34347826086956523,0.3869565217391304,0.13365217391304346
48,0.34782608695652173,0.391304347826087,0.1359130434782609
49,0.3521739130434783,0.39565217391304347,0.13834782608695653
50,0.3565217391304348,0.4,0.14078260869565218
51,0.36086956521739133,0.4043478260869565,0.14295652173913045
52,0.3652173913043478,0.40869565217391307,0.1454782608695652
53,0.3695652173913043,0.41304347826086957,0.14756521739130432
54,0.3739130434782609,0.41739130434782606,0.14956521739130435
55,0.3782608695652174,0.4217391304347826,0.15147826086956523
56,0.3826086956521739,0.4260869565217391,0.1528695652173913
57,0.3869565217391304,0.43043478260869567,0.1550434782608696
58,0.391304347826087,0.43478260869565216,0.15643478260869567
59,0.39565217391304347,0.4391304347826087,0.15817391304347828
60,0.4,0.4434782608695652,0.15982608695652173
61,0.4043478260869565,0.44782608695652176,0.1617391304347826
62,0.40869565217391307,0.45217391304347826,0.16434782608695656
63,0.41304347826086957,0.45652173913043476,0.16669565217391308
64,0.41739130434782606,0.4608695652173913,0.16817391304347828
65,0.4217391304347826,0.4652173913043478,0.1701739130434783
66,0.4260869565217391,0.46956521739130436,0.17182608695652174
67,0.43043478260869567,0.47391304347826085,0.17443478260869566
68,0.43478260869565216,0.4782608695652174,0.17617391304347826
69,0.4391304347826087,0.4826086956521739,0.17739130434782613
70,0.4434782608695652,0.48695652173913045,0.18017391304347824
71,0.4434782608695652,0.49130434782608695,0.18173913043478263
72,0.44782608695652176,0.4956521739130435,0.18356521739130435
73,0.45217391304347826,0.5,0.18556521739130435
74,0.45652173913043476,0.5043478260869565,0.1873043478260869
75,0.4608695652173913,0.508695652173913,0.18982608695652167
76,0.4652173913043478,0.5130434782608696,0.19147826086956518
77,0.46956521739130436,0.5173913043478261,0.1930434782608696
78,0.47391304347826085,0.5217391304347826,0.19443478260869568
79,0.4782608695652174,0.5260869565217391,0.1958260869565218
80,0.4826086956521739,0.5304347826086957,0.19730434782608697
81,0.48695652173913045,0.5347826086956522,0.19852173913043483
82,0.49130434782608695,0.5391304347826087,0.20034782608695656
83,0.4956521739130435,0.5434782608695652,0.20173913043478264
84,0.5,0.5478260869565217,0.2031304347826087
85,0.5043478260869565,0.5521739130434783,0.20513043478260876
86,0.508695652173913,0.5565217391304348,0.2063478260869566
87,0.5130434782608696,0.5608695652173913,0.2080000000000001
88,0.5173913043478261,0.5652173913043478,0.20947826086956525
89,0.5217391304347826,0.5695652173913044,0.21165217391304353
90,0.5260869565217391,0.5739130434782609,0.21347826086956523
91,0.5304347826086957,0.5782608695652174,0.21495652173913044
92,0.5347826086956522,0.5826086956521739,0.2166086956521739
93,0.5391304347826087,0.5869565217391305,0.21773913043478255
94,0.5434782608695652,0.591304347826087,0.21878260869565214
95,0.5478260869565217,0.5956521739130435,0.22060869565217392
96,0.5521739130434783,0.6,0.22165217391304354
97,0.5565217391304348,0.6043478260869565,0.22347826086956527
98,0.5608695652173913,0.6086956521739131,0.22521739130434784
99,0.5652173913043478,0.6130434782608696,0.22669565217391305
100,0.5695652173913044,0.6173913043478261,0.2282608695652174
101,0.5739130434782609,0.6217391304347826,0.23034782608695653
102,0.5782608695652174,0.6260869565217392,0.23182608695652177
103,0.5826086956521739,0.6304347826086957,0.23321739130434785
104,0.5869565217391305,0.6347826086956522,0.2348695652173913
105,0.591304347826087,0.6391304347826087,0.23617391304347826
106,0.5956521739130435,0.6434782608695652,0.23834782608695662
107,0.6,0.6478260869565218,0.23939130434782618
108,0.6043478260869565,0.6521739130434783,0.2410434782608696
109,0.6043478260869565,0.6565217391304348,0.24226086956521742
110,0.6086956521739131,0.6608695652173913,0.24365217391304345
111,0.6130434782608696,0.6652173913043479,0.24478260869565222
112,0.6173913043478261,0.6695652173913044,0.24608695652173915
113,0.6217391304347826,0.6739130434782609,0.24730434782608696
114,0.6260869565217392,0.6782608695652174,0.24878260869565225
115,0.6304347826086957,0.6826086956521739,0.25
116,0.6347826086956522,0.6869565217391305,0.25147826086956526
117,0.6391304347826087,0.691304347826087,0.2526086956521739
118,0.6434782608695652,0.6956521739130435,0.254608695652174
119,0.6478260869565218,0.7,0.2560869565217392
120,0.6521739130434783,0.7043478260869566,0.25765217391304346
121,0.6565217391304348,0.7086956521739131,0.2596521739130434
122,0.6608695652173913,0.7130434782608696,0.26147826086956516
123,0.6652173913043479,0.717391304347826,0.262695652173913
124,0.6695652173913044,0.7217391304347827,0.26417391304347826
125,0.6739130434782609,0.7260869565217392,0.26513043478260867
126,0.6782608695652174,0.7304347826086957,0.2662608695652174
127,0.6826086956521739,0.7347826086956522,0.2674782608695652
128,0.6869565217391305,0.7391304347826086,0.2686086956521738
129,0.691304347826087,0.7434782608695653,0.2695652173913043
130,0.6956521739130435,0.7478260869565218,0.2711304347826087
131,0.7,0.7521739130434782,0.2721739130434783
132,0.7043478260869566,0.7565217391304347,0.27365217391304353
133,0.7086956521739131,0.7608695652173914,0.2750434782608696
